orig.ident,nCount_ATAC,nFeature_ATAC,pop,depth,cell.type,cell.type.idx,batch,predicted.l1.score,predicted.l1
IntegTest,461,85,5_2,2,5_2,2,2,0.351716780624998,5_2
IntegTest,488,87,5_2,1.99246231155779,5_2,2,2,0.331583375201842,4_5
IntegTest,432,82,5_3,1.98743718592965,5_3,3,2,0.331396390867907,4_1
IntegTest,357,77,4_1,1.98745294855709,4_1_2,5,2,0.41651448560642,4_1
IntegTest,318,65,4_1,1.98243412797992,4_1_2,5,2,0.472737926306126,4_1
IntegTest,393,76,4_1,1.97741530740276,4_1_2,5,2,0.474720254356167,4_1
IntegTest,376,68,4_1,1.95984943538268,4_1_2,5,2,0.553182801643927,4_1
IntegTest,314,64,5_3,1.93718592964824,5_3,3,2,0.382832830938211,5_3
IntegTest,449,77,5_3,1.93467336683417,5_3,3,2,0.435156923187534,4_1
IntegTest,424,79,5_2,1.92964824120603,5_2,2,2,0.297409219403736,4_1
IntegTest,374,63,4_1,1.91718946047679,4_1_2,5,2,0.404661868208743,4_1
IntegTest,472,82,5_2,1.90954773869347,5_2,2,2,0.318326776492875,4_1
IntegTest,405,63,4_1,1.90966122961104,4_1_2,5,2,0.578612825017467,4_1
IntegTest,545,85,5_2,1.90452261306533,5_2,2,2,0.352028463195475,5_2
IntegTest,407,82,5_2,1.89195979899498,5_2,2,2,0.281784533638418,5_3
IntegTest,479,84,5_2,1.8894472361809,5_2,2,2,0.32857793672895,5_2
IntegTest,458,72,4_1,1.88958594730238,4_1_2,5,2,0.454020830529399,4_1
IntegTest,343,71,4_1,1.88205771643664,4_1_2,5,2,0.436901179157331,4_1
IntegTest,484,79,5_2,1.85929648241206,5_2,2,2,0.311147422899157,5_2
IntegTest,411,87,4_1,1.84943538268507,4_1_2,5,2,0.381794737673219,4_1
IntegTest,509,90,5_2,1.84170854271357,5_2,2,2,0.362774868479614,4_5
IntegTest,706,91,5_2,1.83668341708543,5_2,2,2,0.366856670092107,5_2
IntegTest,343,66,5_3,1.83165829145729,5_3,3,2,0.461774838542301,4_1
IntegTest,464,65,4_1,1.81932245922208,4_1_2,5,2,0.3694026519963,4_1
IntegTest,382,68,5_3,1.80653266331658,5_3,3,2,0.379605013750887,4_1
IntegTest,434,75,5_3,1.80402010050251,5_3,3,2,0.442078640703645,5_3
IntegTest,625,80,5_2,1.79899497487437,5_2,2,2,0.306181486920079,5_2
IntegTest,558,81,5_2,1.7713567839196,5_2,2,2,0.359210609372828,5_2
IntegTest,376,62,4_1,1.74905897114178,4_1_2,5,2,0.469521954548568,4_1
IntegTest,395,78,5_3,1.74371859296482,5_3,3,2,0.371431900080498,4_5
IntegTest,304,70,4_1,1.74153074027603,4_1_2,5,2,0.375805389172153,4_5
IntegTest,283,66,4_1,1.72396486825596,4_1_2,5,2,0.409719351254512,4_1
IntegTest,377,66,4_1,1.72145545796738,4_1_2,5,2,0.426756506201968,4_1
IntegTest,418,79,5_2,1.71608040201005,5_2,2,2,0.397434025511308,4_1
IntegTest,433,69,4_1,1.71643663739021,4_1_2,5,2,0.534027189414895,4_1
IntegTest,351,68,4_1,1.69134253450439,4_1_2,5,2,0.507274158185784,4_1
IntegTest,408,76,5_3,1.68592964824121,5_3,3,2,0.326396170246029,4_1
IntegTest,456,72,4_1,1.6762860727729,4_1_2,5,2,0.490706037440081,4_1
