pop,depth,cell.type,cell.type.idx,batch
5_3,1.99748743718593,5_3,3,3
4_1,1.99247176913425,4_1_2,5,3
4_1,1.98243412797992,4_1_2,5,3
5_2,1.95979899497487,5_2,2,3
5_2,1.95226130653266,5_2,2,3
5_3,1.92964824120603,5_3,3,3
4_1,1.92471769134253,4_1_2,5,3
5_2,1.91959798994975,5_2,2,3
4_1,1.90213299874529,4_1_2,5,3
5_2,1.89698492462312,5_2,2,3
4_1,1.89711417816813,4_1_2,5,3
4_1,1.88456712672522,4_1_2,5,3
4_1,1.87703889585947,4_1_2,5,3
5_3,1.87185929648241,5_3,3,3
5_3,1.85929648241206,5_3,3,3
5_3,1.84924623115578,5_3,3,3
5_2,1.84422110552764,5_2,2,3
5_2,1.83668341708543,5_2,2,3
5_3,1.83165829145729,5_3,3,3
5_3,1.82663316582915,5_3,3,3
5_2,1.81658291457286,5_2,2,3
5_2,1.81155778894472,5_2,2,3
5_3,1.80904522613065,5_3,3,3
5_2,1.80653266331658,5_2,2,3
5_3,1.80402010050251,5_3,3,3
4_1,1.80175658720201,4_1_2,5,3
5_2,1.78391959798995,5_2,2,3
4_1,1.78168130489335,4_1_2,5,3
5_3,1.77638190954774,5_3,3,3
5_2,1.76130653266332,5_2,2,3
4_1,1.76160602258469,4_1_2,5,3
4_1,1.75658720200753,4_1_2,5,3
5_3,1.75125628140704,5_3,3,3
5_2,1.73869346733668,5_2,2,3
5_3,1.73115577889447,5_3,3,3
4_1,1.73149309912171,4_1_2,5,3
4_1,1.7189460476788,4_1_2,5,3
5_3,1.70854271356784,5_3,3,3
5_3,1.69849246231156,5_3,3,3
5_2,1.68090452261307,5_2,2,3
5_3,1.67839195979899,5_3,3,3
4_1,1.67377666248432,4_1_2,5,3
5_2,1.66834170854271,5_2,2,3
5_2,1.66331658291457,5_2,2,3
5_2,1.65577889447236,5_2,2,3
5_3,1.62562814070352,5_3,3,3
5_2,1.61809045226131,5_2,2,3
5_3,1.6105527638191,5_3,3,3
4_1,1.61104140526976,4_1_2,5,3
4_1,1.6060225846926,4_1_2,5,3
4_1,1.60100376411543,4_1_2,5,3
5_2,1.58291457286432,5_2,2,3
5_2,1.57537688442211,5_2,2,3
4_1,1.56587202007528,4_1_2,5,3
4_1,1.56085319949812,4_1_2,5,3
5_2,1.54522613065327,5_2,2,3
5_3,1.53768844221106,5_3,3,3
